metric_id,metric_name,metric_query
57,io_service_bytes_write,"rate(container_fs_io_current{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
58,cpu_context_switches,"rate(container_cpu_cfs_periods_total{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}[5m])"
59,tasks_sleeping,"container_tasks_state{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
60,tasks_running,"container_tasks_state{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
61,tasks_stopped,"container_tasks_state{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
62,tasks_uninterruptible,"container_tasks_state{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
63,container_last_seen,"container_last_seen{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
64,node_memory_pressure,"kube_node_status_condition{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
65,node_disk_pressure,"kube_node_status_condition{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
66,node_pid_pressure,"kube_node_status_condition{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
67,node_ready,"kube_node_status_condition{container!=""POD"",container!="""",pod=~""app-degradacao-.*""}"
