timestamp,metric_name,value,__name__,container,cpu,endpoint,id,image,instance,job,metrics_path,name,namespace,node,pod,service,interface,device
2025-10-01 22:04:21,cpu_usage_seconds_total,5.786173,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 22:04:51,cpu_usage_seconds_total,6.210713,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 22:05:21,cpu_usage_seconds_total,6.444393,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 22:05:51,cpu_usage_seconds_total,6.856609,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 22:06:21,cpu_usage_seconds_total,7.082821,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 22:06:51,cpu_usage_seconds_total,7.519372,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,017ef068747ed3da8eb9e9db4327c8f643e8bca92dc5b03bfa2831035be36505,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:48:51,cpu_usage_seconds_total,0.012532,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:49:21,cpu_usage_seconds_total,2.152238,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:49:51,cpu_usage_seconds_total,2.69795,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
2025-10-01 21:50:21,cpu_usage_seconds_total,2.98692,container_cpu_usage_seconds_total,memory-stress,total,https-metrics,/kubepods/burstable/podc90feebe-478d-40e3-a037-dd7082088055/16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,docker.io/library/memory-stress:latest,192.168.242.134:10250,kubelet,/metrics/cadvisor,16dc998cbb3ac0b942be0c859418192f11179ac6d6f97cde07498d4c63a8bf08,memory-stress-test,x86,memory-stress-app-664c7bc4ff-ptfl6,kube-prometheus-stack-kubelet,,
