pod_name,instance,instance_ip,instance_port,container,namespace,node,job,datetime_utc,timestamp,memory_bytes,memory_mb,memory_gb
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:16:00,1759353360.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:16:30,1759353390.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:17:00,1759353420.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:17:30,1759353450.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:18:00,1759353480.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:18:30,1759353510.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:19:00,1759353540.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:19:30,1759353570.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:20:00,1759353600.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:20:30,1759353630.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:21:00,1759353660.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:21:30,1759353690.0,21667840.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:22:00,1759353720.0,21663744.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:22:30,1759353750.0,21663744.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:23:00,1759353780.0,21663744.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:23:30,1759353810.0,21663744.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:24:00,1759353840.0,21663744.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:24:30,1759353870.0,21663744.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:25:00,1759353900.0,21659648.0,20.66,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:25:30,1759353930.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:26:00,1759353960.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:26:30,1759353990.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:27:00,1759354020.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:27:30,1759354050.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:28:00,1759354080.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:28:30,1759354110.0,21655552.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:29:00,1759354140.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:29:30,1759354170.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:30:00,1759354200.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:30:30,1759354230.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:31:00,1759354260.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:31:30,1759354290.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:32:00,1759354320.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:32:30,1759354350.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:33:00,1759354380.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:33:30,1759354410.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:34:00,1759354440.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:34:30,1759354470.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:35:00,1759354500.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:35:30,1759354530.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:36:00,1759354560.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:36:30,1759354590.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:37:00,1759354620.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:37:30,1759354650.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:38:00,1759354680.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:38:30,1759354710.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:39:00,1759354740.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:39:30,1759354770.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:40:00,1759354800.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:40:30,1759354830.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:41:00,1759354860.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:41:30,1759354890.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:42:00,1759354920.0,21651456.0,20.65,0.0202
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:42:30,1759354950.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:43:00,1759354980.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:43:30,1759355010.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:44:00,1759355040.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:44:30,1759355070.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:45:00,1759355100.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:45:30,1759355130.0,21446656.0,20.45,0.02
postgres-deployment-76d6f4778d-qxm7b,192.168.242.134:10250,192.168.242.134,10250,postgres,default,x86,kubelet,2025-10-01 21:46:00,1759355160.0,21446656.0,20.45,0.02
