pod_name,instance,instance_ip,instance_port,container,namespace,node,job,datetime_utc,timestamp,memory_bytes,memory_mb,memory_gb
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:04:08,1757282648.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:04:38,1757282678.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:05:08,1757282708.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:05:38,1757282738.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:06:08,1757282768.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:06:38,1757282798.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:07:08,1757282828.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:07:38,1757282858.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:08:08,1757282888.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:08:38,1757282918.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:09:08,1757282948.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:09:38,1757282978.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:10:08,1757283008.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:10:38,1757283038.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:11:08,1757283068.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:11:38,1757283098.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:12:08,1757283128.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:12:38,1757283158.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:13:08,1757283188.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:13:38,1757283218.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:14:08,1757283248.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:14:38,1757283278.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:15:08,1757283308.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:15:38,1757283338.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:16:08,1757283368.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:16:38,1757283398.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:17:08,1757283428.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:17:38,1757283458.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:18:08,1757283488.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:18:38,1757283518.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:19:08,1757283548.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:19:38,1757283578.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:20:08,1757283608.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:20:38,1757283638.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:21:08,1757283668.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:21:38,1757283698.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:22:08,1757283728.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:22:38,1757283758.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:23:08,1757283788.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:23:38,1757283818.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:24:08,1757283848.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:24:38,1757283878.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:25:08,1757283908.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:25:38,1757283938.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:26:08,1757283968.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:26:38,1757283998.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:27:08,1757284028.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:27:38,1757284058.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:28:08,1757284088.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:28:38,1757284118.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:29:08,1757284148.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:29:38,1757284178.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:30:08,1757284208.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:30:38,1757284238.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:31:08,1757284268.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:31:38,1757284298.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:32:08,1757284328.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:32:38,1757284358.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:33:08,1757284388.0,55554048.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:33:38,1757284418.0,55549952.0,52.98,0.0517
postgres-deployment-76f656b68c-p46kq,x86,x86,N/A,postgres,stress-app,N/A,kubernetes-nodes-cadvisor,2025-09-07 22:34:08,1757284448.0,55549952.0,52.98,0.0517
