timestamp_inicio,timestamp_fim,duracao_ms,qtd_primos_gerados
29/09/2025 13:40:10,29/09/2025 13:40:10,53,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,484,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,344,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,690,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,354,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,585,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,571,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,524,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,972,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,847,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,459,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,455,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,333,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,560,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,764,10000
29/09/2025 13:47:07,29/09/2025 13:47:07,351,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,389,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,219,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,382,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,771,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,679,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,506,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,542,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,704,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,399,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,269,10000
29/09/2025 13:47:08,29/09/2025 13:47:08,259,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,515,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,256,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,160,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,278,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,263,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,614,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,402,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,387,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,516,10000
29/09/2025 13:47:09,29/09/2025 13:47:09,447,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,605,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,704,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,321,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,196,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,469,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,675,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,235,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,310,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,585,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,347,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,630,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,517,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,379,10000
29/09/2025 13:47:10,29/09/2025 13:47:10,384,10000
29/09/2025 13:48:03,29/09/2025 13:48:03,124,10000
29/09/2025 13:48:03,29/09/2025 13:48:03,163,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,172,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,204,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,330,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,236,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,188,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,380,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,417,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,227,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,371,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,320,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,337,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,373,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,148,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,362,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,187,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,199,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,252,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,177,10000
29/09/2025 13:48:04,29/09/2025 13:48:04,323,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,92,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,234,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,128,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,234,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,156,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,108,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,175,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,273,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,178,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,181,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,309,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,262,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,228,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,293,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,376,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,157,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,162,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,162,10000
29/09/2025 13:48:05,29/09/2025 13:48:05,162,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,128,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,236,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,205,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,251,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,191,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,193,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,249,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,202,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,130,10000
29/09/2025 13:48:06,29/09/2025 13:48:06,157,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,633,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,788,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1031,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1036,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1027,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,901,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1231,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1071,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1383,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,954,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,651,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,1300,10000
29/09/2025 13:55:47,29/09/2025 13:55:47,1161,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,844,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,1158,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,263,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,213,10000
29/09/2025 13:55:48,29/09/2025 13:55:48,574,10000
